ranking_year,ranking_category,institute_id,institute_name,state,city,academic_year,category,value,unit
2024,Overall,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2022-23,Number of sponsored projects,956.0,value in Absolute Number
2024,Overall,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2021-22,Number of sponsored projects,931.0,value in Absolute Number
2024,Overall,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2020-21,Number of sponsored projects,913.0,value in Absolute Number
2024,Overall,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2022-23,Amount received (INR),1938160422.0,value in Rupees
2024,Overall,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2021-22,Amount received (INR),1618621436.0,value in Rupees
2024,Overall,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2020-21,Amount received (INR),1027068418.0,value in Rupees
2024,Overall,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2022-23,Amount received (INR),371638884.0,value in Rupees
2024,Overall,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2021-22,Amount received (INR),340009000.0,value in Rupees
2024,Overall,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2020-21,Amount received (INR),231000000.0,value in Rupees
2024,Overall,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2022-23,Number of sponsored projects,1378.0,value in Absolute Number
2024,Overall,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2021-22,Number of sponsored projects,1334.0,value in Absolute Number
2024,Overall,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2020-21,Number of sponsored projects,1565.0,value in Absolute Number
2024,Overall,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2022-23,Amount received (INR),4762663592.0,value in Rupees
2024,Overall,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2021-22,Amount received (INR),4352399044.0,value in Rupees
2024,Overall,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2020-21,Amount received (INR),3153551935.0,value in Rupees
2024,Overall,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2022-23,Amount received (INR),996328396.0,value in Rupees
2024,Overall,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2021-22,Amount received (INR),668900000.0,value in Rupees
2024,Overall,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2020-21,Amount received (INR),481600000.0,value in Rupees
2024,Overall,IR-O-U-0053,Indian Institute of Technology Guwahati,Assam,Guwahati,2022-23,Number of sponsored projects,330.0,value in Absolute Number
2024,Overall,IR-O-U-0053,Indian Institute of Technology Guwahati,Assam,Guwahati,2021-22,Number of sponsored projects,308.0,value in Absolute Number
